reference	Homo_sapiens	Gorilla_gorilla	Macaca_mulatta	Nomascus_leucogenys	Pan_troglodytes	Pongo_abelii
Macaca_mulatta	-	ENSMMUG00000049088-2306-M	ENSMMUG00000049088	-	-	-	
Macaca_mulatta	ENSMMUG00000042331-35-P	ENSMMUG00000042331-15-P	ENSMMUG00000042331	ENSMMUG00000042331-21-P	ENSMMUG00000042331-28-P	ENSMMUG00000042331-26-M	
Macaca_mulatta	ENSMMUG00000040023-24-M	ENSMMUG00000040023-17-M	ENSMMUG00000040023	-	ENSMMUG00000040023-21-M	-	
Macaca_mulatta	ENSMMUG00000047699-4060-P	ENSMMUG00000047699-2310-P	ENSMMUG00000047699	ENSMMUG00000047699-3128-P	ENSMMUG00000047699-2967-P	ENSMMUG00000047699-3125-P	
Macaca_mulatta	-	-	ENSMMUG00000039635	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000042631	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000047322	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000015316	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000030737	-	-	-	
Macaca_mulatta	ENSMMUG00000046281-50-P	ENSMMUG00000046281-2140-P	ENSMMUG00000046281	ENSMMUG00000046281-38-M	ENSMMUG00000046281-36-P	ENSMMUG00000046281-42-P	
Macaca_mulatta	-	-	ENSMMUG00000014249	-	-	-	
Macaca_mulatta	ENSMMUG00000048030-4067-M	-	ENSMMUG00000048030	-	ENSMMUG00000048030-2987-M	-	
Macaca_mulatta	ENSMMUG00000032479-4069-P	-	ENSMMUG00000032479	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000039834	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000009165	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000031311	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000037752	ENSMMUG00000037752-32-P	-	-	
Macaca_mulatta	-	-	ENSMMUG00000043234	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000029194	ENSMMUG00000029194-3145-M	-	-	
Macaca_mulatta	ENSMMUG00000044362-62-P	ENSMMUG00000044362-2147-P	ENSMMUG00000044362	ENSMMUG00000044362-45-M	ENSMMUG00000044362-44-P	ENSMMUG00000044362-51-M	
Macaca_mulatta	ENSMMUG00000046711-4086-P	ENSMMUG00000046711-2326-M	ENSMMUG00000046711	ENSMMUG00000046711-3146-M	ENSMMUG00000046711-3003-M	ENSMMUG00000046711-3148-M	
Macaca_mulatta	-	-	ENSMMUG00000041946	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000031762	-	-	-	
Macaca_mulatta	ENSMMUG00000010630-48-P	-	ENSMMUG00000010630	-	ENSMMUG00000010630-43-P	-	
Macaca_mulatta	-	-	ENSMMUG00000015336	-	-	-	
Macaca_mulatta	ENSMMUG00000048208-74-P	-	ENSMMUG00000048208	-	ENSMMUG00000048208-57-P	ENSMMUG00000048208-62-M	
Macaca_mulatta	-	-	ENSMMUG00000029973	-	-	ENSMMUG00000029973-49-M	
Macaca_mulatta	ENSMMUG00000038259-54-M	ENSMMUG00000038259-4704-M	ENSMMUG00000038259	ENSMMUG00000038259-45-P	ENSMMUG00000038259-48-P	ENSMMUG00000038259-51-M	
Macaca_mulatta	-	-	ENSMMUG00000028943	-	ENSMMUG00000028943-49-M	-	
Macaca_mulatta	-	-	ENSMMUG00000040000	-	-	-	
Macaca_mulatta	ENSMMUG00000018999-58-P	-	ENSMMUG00000018999	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000001767	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000044345	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000042654	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000038034	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000013224	ENSMMUG00000013224-3160-P	ENSMMUG00000013224-3020-M	-	
Macaca_mulatta	ENSMMUG00000030920-4114-P	-	ENSMMUG00000030920	ENSMMUG00000030920-3159-P	ENSMMUG00000030920-3019-P	-	
Macaca_mulatta	-	-	ENSMMUG00000043327	-	-	-	
Macaca_mulatta	ENSMMUG00000029700-96-M	ENSMMUG00000029700-2165-M	ENSMMUG00000029700	-	gene28438	ENSMMUG00000029700-83-M	
Macaca_mulatta	-	-	ENSMMUG00000048911	-	-	ENSMMUG00000048911-68-P	
Macaca_mulatta	ENSMMUG00000045809-75-P	ENSMMUG00000045809-48-M	ENSMMUG00000045809	ENSMMUG00000045809-72-M	ENSMMUG00000045809-70-P	ENSMMUG00000045809-71-P	
Macaca_mulatta	ENSMMUG00000039323-100-P	ENSMMUG00000039323-44-P	ENSMMUG00000039323	ENSMMUG00000039323-75-P	ENSMMUG00000039323-77-P	ENSMMUG00000039323-87-P	
Macaca_mulatta	-	-	ENSMMUG00000039668	-	-	-	
Macaca_mulatta	ENSMMUG00000041624-4126-P	ENSMMUG00000041624-7047-M	ENSMMUG00000041624	ENSMMUG00000041624-3170-M	ENSMMUG00000041624-3025-P	ENSMMUG00000041624-3175-P	
Macaca_mulatta	-	-	ENSMMUG00000048012	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000040870	-	-	-	
Macaca_mulatta	ENSMMUG00000018611-4132-P	-	ENSMMUG00000018611	ENSMMUG00000018611-3175-M	ENSMMUG00000018611-3030-P	ENSMMUG00000018611-3178-P	
Macaca_mulatta	-	-	ENSMMUG00000040183	-	-	ENSMMUG00000040183-100-P	
Macaca_mulatta	-	-	ENSMMUG00000031809	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000030606	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000003990	-	-	-	
Macaca_mulatta	ENSMMUG00000032497-89-P	ENSMMUG00000032497-4724-M	ENSMMUG00000032497	ENSMMUG00000032497-87-P	ENSMMUG00000032497-79-P	-	
Macaca_mulatta	ENSMMUG00000041149-124-M	ENSMMUG00000041149-2177-M	ENSMMUG00000041149	-	ENSMMUG00000041149-98-M	ENSMMUG00000041149-105-M	
Macaca_mulatta	-	-	ENSMMUG00000038763	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000023253	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000038391	-	-	-	
Macaca_mulatta	-	ENSMMUG00000041766-2180-P	ENSMMUG00000041766	ENSMMUG00000041766-95-M	ENSMMUG00000041766-104-P	ENSMMUG00000041766-111-M	
Macaca_mulatta	ENSMMUG00000030305-4145-M	-	ENSMMUG00000030305	-	ENSMMUG00000030305-3040-M	ENSMMUG00000030305-3186-P	
Macaca_mulatta	-	-	ENSMMUG00000013585	-	ENSMMUG00000013585-87-M	-	
Macaca_mulatta	-	-	ENSMMUG00000047616	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000043669	-	-	-	
Macaca_mulatta	ENSMMUG00000044341-139-M	ENSMMUG00000044341-2184-M	ENSMMUG00000044341	ENSMMUG00000044341-106-P	ENSMMUG00000044341-115-M	ENSMMUG00000044341-119-M	
Macaca_mulatta	-	-	ENSMMUG00000031981	-	-	-	
Macaca_mulatta	-	ENSMMUG00000031556-2187-M	ENSMMUG00000031556	-	ENSMMUG00000031556-120-M	-	
Macaca_mulatta	-	-	ENSMMUG00000039514	-	-	-	
Macaca_mulatta	-	ENSMMUG00000023095-2191-P	ENSMMUG00000023095	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000032201	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000046377	-	ENSMMUG00000046377-3051-M	-	
Macaca_mulatta	-	-	ENSMMUG00000049201	-	-	-	
Macaca_mulatta	ENSMMUG00000047765-156-P	ENSMMUG00000047765-2194-P	ENSMMUG00000047765	ENSMMUG00000047765-124-M	ENSMMUG00000047765-127-P	-	
Macaca_mulatta	-	ENSMMUG00000048335-7083-P	ENSMMUG00000048335	-	-	-	
Macaca_mulatta	ENSMMUG00000009018-160-P	-	ENSMMUG00000009018	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000011937	-	-	-	
Macaca_mulatta	ENSMMUG00000039590-118-P	ENSMMUG00000039590-74-M	ENSMMUG00000039590	ENSMMUG00000039590-112-P	ENSMMUG00000039590-99-M	ENSMMUG00000039590-113-M	
Macaca_mulatta	ENSMMUG00000048949-4167-P	ENSMMUG00000048949-2370-M	ENSMMUG00000048949	ENSMMUG00000048949-3202-M	ENSMMUG00000048949-3064-M	ENSMMUG00000048949-3207-M	
Macaca_mulatta	ENSMMUG00000038373-168-P	ENSMMUG00000038373-2197-P	ENSMMUG00000038373	ENSMMUG00000038373-137-P	ENSMMUG00000038373-137-P	-	
Macaca_mulatta	-	-	ENSMMUG00000007145	-	-	-	
Macaca_mulatta	ENSMMUG00000040094-120-P	ENSMMUG00000040094-76-P	ENSMMUG00000040094	ENSMMUG00000040094-115-P	ENSMMUG00000040094-100-P	ENSMMUG00000040094-114-P	
Macaca_mulatta	-	-	ENSMMUG00000046140	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000029940	-	ENSMMUG00000029940-142-P	-	
Macaca_mulatta	ENSMMUG00000001070-4182-P	-	ENSMMUG00000001070	-	ENSMMUG00000001070-3070-P	-	
Macaca_mulatta	-	-	ENSMMUG00000048383	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000032597	-	-	-	
Macaca_mulatta	ENSMMUG00000045473-4191-M	-	ENSMMUG00000045473	ENSMMUG00000045473-3218-M	ENSMMUG00000045473-3075-M	-	
Macaca_mulatta	-	-	ENSMMUG00000005275	-	-	ENSMMUG00000005275-3225-P	
Macaca_mulatta	ENSMMUG00000032387-122-M	-	ENSMMUG00000032387	ENSMMUG00000032387-119-M	ENSMMUG00000032387-102-M	-	
Macaca_mulatta	-	-	ENSMMUG00000041725	-	ENSMMUG00000041725-103-M	-	
Macaca_mulatta	-	-	ENSMMUG00000047411	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000043694	-	-	ENSMMUG00000043694-120-M	
Macaca_mulatta	ENSMMUG00000041152-184-P	ENSMMUG00000041152-91-P	ENSMMUG00000041152	ENSMMUG00000041152-151-M	ENSMMUG00000041152-155-P	ENSMMUG00000041152-157-P	
Macaca_mulatta	-	ENSMMUG00000048776-4757-P	ENSMMUG00000048776	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000040567	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000014776	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000037866	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000030947	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000041869	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000029693	-	-	-	
Macaca_mulatta	ENSMMUG00000038154-4205-M	ENSMMUG00000038154-2389-M	ENSMMUG00000038154	ENSMMUG00000038154-3232-P	ENSMMUG00000038154-3082-M	ENSMMUG00000038154-3232-P	
Macaca_mulatta	ENSMMUG00000007849-192-P	-	ENSMMUG00000007849	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000030925	-	-	-	
Macaca_mulatta	ENSMMUG00000043380-143-P	ENSMMUG00000043380-94-P	ENSMMUG00000043380	ENSMMUG00000043380-135-M	ENSMMUG00000043380-118-P	-	
Macaca_mulatta	-	-	ENSMMUG00000018383	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000038313	-	-	-	
Macaca_mulatta	ENSMMUG00000017531-4215-M	ENSMMUG00000017531-2395-M	ENSMMUG00000017531	ENSMMUG00000017531-3242-P	ENSMMUG00000017531-3091-M	ENSMMUG00000017531-3245-M	
Macaca_mulatta	-	-	ENSMMUG00000014683	-	-	-	
Macaca_mulatta	ENSMMUG00000013273-148-P	-	ENSMMUG00000013273	-	ENSMMUG00000013273-122-P	-	
Macaca_mulatta	-	-	ENSMMUG00000045362	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000039609	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000045236	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000032418	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000016578	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000046475	-	-	-	
Macaca_mulatta	ENSMMUG00000031072-217-P	ENSMMUG00000031072-2222-P	ENSMMUG00000031072	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000049007	-	-	-	
Macaca_mulatta	ENSMMUG00000038253-4228-P	ENSMMUG00000038253-2409-M	ENSMMUG00000038253	ENSMMUG00000038253-3255-M	ENSMMUG00000038253-3104-M	ENSMMUG00000038253-3258-M	
Macaca_mulatta	-	-	ENSMMUG00000045237	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000022071	-	-	-	
Macaca_mulatta	-	ENSMMUG00000048084-2412-P	ENSMMUG00000048084	ENSMMUG00000048084-3260-M	-	-	
Macaca_mulatta	ENSMMUG00000038200-4243-P	ENSMMUG00000038200-2414-P	ENSMMUG00000038200	ENSMMUG00000038200-3263-M	ENSMMUG00000038200-3113-P	-	
Macaca_mulatta	-	-	ENSMMUG00000045059	-	-	-	
Macaca_mulatta	ENSMMUG00000021980-172-P	-	ENSMMUG00000021980	ENSMMUG00000021980-160-M	-	-	
Macaca_mulatta	ENSMMUG00000008051-175-P	ENSMMUG00000008051-115-P	ENSMMUG00000008051	-	ENSMMUG00000008051-145-M	ENSMMUG00000008051-163-M	
Macaca_mulatta	ENSMMUG00000010727-176-P	ENSMMUG00000010727-4788-P	ENSMMUG00000010727	-	ENSMMUG00000010727-146-P	-	
Macaca_mulatta	-	-	ENSMMUG00000038381	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000029087	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000048062	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000001087	-	-	-	
Macaca_mulatta	ENSMMUG00000041524-180-P	ENSMMUG00000041524-120-M	ENSMMUG00000041524	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000038665	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000002294	-	-	-	
Macaca_mulatta	ENSMMUG00000045872-4254-M	ENSMMUG00000045872-7120-M	ENSMMUG00000045872	-	ENSMMUG00000045872-3122-M	-	
Macaca_mulatta	ENSMMUG00000005110-246-P	ENSMMUG00000005110-118-M	ENSMMUG00000005110	-	-	-	
Macaca_mulatta	ENSMMUG00000039952-4257-M	ENSMMUG00000039952-7121-M	ENSMMUG00000039952	ENSMMUG00000039952-3272-P	ENSMMUG00000039952-3125-M	ENSMMUG00000039952-3277-M	
Macaca_mulatta	ENSMMUG00000005709-247-M	ENSMMUG00000005709-2238-M	ENSMMUG00000005709	ENSMMUG00000005709-200-P	-	ENSMMUG00000005709-214-M	
Macaca_mulatta	-	-	ENSMMUG00000029950	-	-	-	
Macaca_mulatta	-	ENSMMUG00000046349-129-P	ENSMMUG00000046349	-	ENSMMUG00000046349-163-P	-	
Macaca_mulatta	ENSMMUG00000046945-257-P	ENSMMUG00000046945-2243-P	ENSMMUG00000046945	ENSMMUG00000046945-211-P	ENSMMUG00000046945-211-P	ENSMMUG00000046945-224-M	
Macaca_mulatta	ENSMMUG00000040481-4265-P	ENSMMUG00000040481-7124-P	ENSMMUG00000040481	ENSMMUG00000040481-3282-M	ENSMMUG00000040481-3130-P	ENSMMUG00000040481-3282-P	
Macaca_mulatta	-	-	ENSMMUG00000048959	ENSMMUG00000048959-185-P	-	-	
Macaca_mulatta	-	-	ENSMMUG00000039390	-	ENSMMUG00000039390-212-P	-	
Macaca_mulatta	-	-	ENSMMUG00000019335	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000014212	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000030261	-	-	-	
Macaca_mulatta	-	ENSMMUG00000044651-4812-P	ENSMMUG00000044651	ENSMMUG00000044651-190-M	-	-	
Macaca_mulatta	-	ENSMMUG00000029375-133-M	ENSMMUG00000029375	-	-	-	
Macaca_mulatta	ENSMMUG00000005958-4272-M	-	ENSMMUG00000005958	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000043111	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000041920	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000043859	-	-	-	
Macaca_mulatta	ENSMMUG00000047529-4276-P	ENSMMUG00000047529-7130-M	ENSMMUG00000047529	ENSMMUG00000047529-3290-M	ENSMMUG00000047529-3139-M	ENSMMUG00000047529-3294-M	
Macaca_mulatta	-	-	ENSMMUG00000015657	-	-	-	
Macaca_mulatta	ENSMMUG00000040311-3-M	-	ENSMMUG00000040311	ENSMMUG00000040311-230-P	ENSMMUG00000040311-226-M	ENSMMUG00000040311-241-P	
Macaca_mulatta	ENSMMUG00000047941-5-M	ENSMMUG00000047941-138-M	ENSMMUG00000047941	ENSMMUG00000047941-234-P	ENSMMUG00000047941-229-M	ENSMMUG00000047941-245-M	
Macaca_mulatta	-	-	ENSMMUG00000000050	ENSMMUG00000000050-3298-P	-	-	
Macaca_mulatta	-	ENSMMUG00000046387-139-P	ENSMMUG00000046387	ENSMMUG00000046387-235-P	-	gene_LOC100441307	
Macaca_mulatta	-	ENSMMUG00000047751-7131-P	ENSMMUG00000047751	-	ENSMMUG00000047751-3142-P	-	
Macaca_mulatta	ENSMMUG00000030481-291-M	ENSMMUG00000030481-2255-M	ENSMMUG00000030481	ENSMMUG00000030481-240-M	ENSMMUG00000030481-234-M	ENSMMUG00000030481-249-M	
Macaca_mulatta	-	-	ENSMMUG00000044728	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000044583	-	-	-	
Macaca_mulatta	ENSMMUG00000041417-276-P	ENSMMUG00000041417-4823-P	ENSMMUG00000041417	ENSMMUG00000041417-207-M	ENSMMUG00000041417-184-P	-	
Macaca_mulatta	ENSMMUG00000017989-277-M	ENSMMUG00000017989-4822-M	ENSMMUG00000017989	ENSMMUG00000017989-208-P	ENSMMUG00000017989-185-M	-	
Macaca_mulatta	ENSMMUG00000037982-4293-M	ENSMMUG00000037982-2446-M	ENSMMUG00000037982	-	ENSMMUG00000037982-3146-M	ENSMMUG00000037982-3301-M	
Macaca_mulatta	-	-	ENSMMUG00000044781	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000015349	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000045233	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000046261	-	-	-	
Macaca_mulatta	-	ENSMMUG00000045744-2259-P	ENSMMUG00000045744	-	-	-	
Macaca_mulatta	ENSMMUG00000038534-4299-M	ENSMMUG00000038534-2451-P	ENSMMUG00000038534	ENSMMUG00000038534-3314-M	ENSMMUG00000038534-3151-P	ENSMMUG00000038534-3309-P	
Macaca_mulatta	-	-	ENSMMUG00000038980	-	-	-	
Macaca_mulatta	-	ENSMMUG00000037953-4830-P	ENSMMUG00000037953	-	-	-	
Macaca_mulatta	ENSMMUG00000038612-289-M	ENSMMUG00000038612-4829-P	ENSMMUG00000038612	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000045849	-	-	-	
Macaca_mulatta	ENSMMUG00000041234-293-P	ENSMMUG00000041234-4831-P	ENSMMUG00000041234	ENSMMUG00000041234-221-P	ENSMMUG00000041234-198-P	-	
Macaca_mulatta	ENSMMUG00000042412-4307-P	ENSMMUG00000042412-2454-M	ENSMMUG00000042412	ENSMMUG00000042412-3321-P	ENSMMUG00000042412-3156-M	-	
Macaca_mulatta	-	ENSMMUG00000021751-7144-M	ENSMMUG00000021751	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000015398	-	-	-	
Macaca_mulatta	ENSMMUG00000046503-310-M	ENSMMUG00000046503-2263-M	ENSMMUG00000046503	ENSMMUG00000046503-251-M	ENSMMUG00000046503-251-M	ENSMMUG00000046503-266-M	
Macaca_mulatta	ENSMMUG00000043350-318-P	ENSMMUG00000043350-151-P	ENSMMUG00000043350	ENSNLEG00000015422	ENSMMUG00000043350-254-P	ENSMMUG00000043350-269-M	
Macaca_mulatta	ENSMMUG00000008795-4316-P	ENSMMUG00000008795-2460-P	ENSMMUG00000008795	ENSMMUG00000008795-3329-P	ENSMMUG00000008795-3162-P	ENSMMUG00000008795-3322-P	
Macaca_mulatta	-	-	ENSMMUG00000047655	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000048445	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000040805	-	-	-	
Macaca_mulatta	ENSMMUG00000044527-306-M	ENSMMUG00000044527-162-P	ENSMMUG00000044527	-	ENSMMUG00000044527-208-M	-	
Macaca_mulatta	-	-	ENSMMUG00000047263	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000032040	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000037503	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000019929	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000003812	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000002608	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000042184	-	-	-	
Macaca_mulatta	ENSMMUG00000039393-313-P	ENSMMUG00000039393-181-M	ENSMMUG00000039393	ENSMMUG00000039393-240-M	ENSMMUG00000039393-211-M	ENSMMUG00000039393-234-M	
Macaca_mulatta	ENSMMUG00000048104-36-P	-	ENSMMUG00000048104	ENSMMUG00000048104-278-P	-	gene_LOC100443026	
Macaca_mulatta	-	-	ENSMMUG00000046433	ENSMMUG00000046433-279-P	-	-	
Macaca_mulatta	ENSMMUG00000016790-321-P	ENSMMUG00000016790-4843-P	ENSMMUG00000016790	-	ENSMMUG00000016790-212-P	ENSMMUG00000016790-236-P	
Macaca_mulatta	ENSMMUG00000044843-4348-P	-	ENSMMUG00000044843	-	ENSMMUG00000044843-3179-P	ENSMMUG00000044843-3338-M	
Macaca_mulatta	ENSMMUG00000048570-324-P	ENSMMUG00000048570-183-M	ENSMMUG00000048570	-	ENSMMUG00000048570-215-P	ENSMMUG00000048570-239-M	
Macaca_mulatta	ENSMMUG00000042427-332-P	ENSMMUG00000042427-186-M	ENSMMUG00000042427	ENSMMUG00000042427-246-M	ENSMMUG00000042427-217-M	ENSMMUG00000042427-241-M	
Macaca_mulatta	-	-	ENSMMUG00000044215	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000048343	-	-	-	
Macaca_mulatta	ENSMMUG00000037692-342-P	ENSMMUG00000037692-4847-P	ENSMMUG00000037692	ENSMMUG00000037692-249-P	ENSMMUG00000037692-220-P	-	
Macaca_mulatta	ENSMMUG00000046861-343-P	-	ENSMMUG00000046861	ENSMMUG00000046861-250-P	-	ENSMMUG00000046861-246-M	
Macaca_mulatta	ENSMMUG00000040872-4359-M	ENSMMUG00000040872-7164-P	ENSMMUG00000040872	-	ENSMMUG00000040872-3195-P	ENSMMUG00000040872-3343-P	
Macaca_mulatta	ENSMMUG00000030714-351-P	-	ENSMMUG00000030714	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000039723	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000007810	-	-	-	
Macaca_mulatta	ENSMMUG00000045176-348-P	ENSMMUG00000045176-4854-P	ENSMMUG00000045176	ENSMMUG00000045176-259-M	-	ENSMMUG00000045176-251-M	
Macaca_mulatta	ENSMMUG00000044323-4365-P	-	ENSMMUG00000044323	-	ENSMMUG00000044323-3201-P	ENSMMUG00000044323-3352-P	
Macaca_mulatta	ENSMMUG00000015202-365-M	ENSMMUG00000015202-2292-M	ENSMMUG00000015202	-	ENSMMUG00000015202-299-M	-	
Macaca_mulatta	ENSMMUG00000049015-352-P	-	ENSMMUG00000049015	ENSMMUG00000049015-261-P	-	ENSMMUG00000049015-253-P	
Macaca_mulatta	-	-	ENSMMUG00000039241	-	-	-	
Macaca_mulatta	ENSMMUG00000043159-4367-M	ENSMMUG00000043159-7169-P	ENSMMUG00000043159	ENSMMUG00000043159-3361-M	-	-	
Macaca_mulatta	-	-	ENSMMUG00000048140	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000021460	-	-	-	
Macaca_mulatta	-	ENSMMUG00000041595-178-P	ENSMMUG00000041595	ENSMMUG00000041595-305-P	ENSMMUG00000041595-308-P	ENSMMUG00000041595-319-M	
Macaca_mulatta	ENSMMUG00000046891-4375-P	ENSMMUG00000046891-7176-P	ENSMMUG00000046891	ENSMMUG00000046891-3366-P	ENSMMUG00000046891-3215-P	ENSMMUG00000046891-3358-M	
Macaca_mulatta	-	-	ENSMMUG00000032503	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000000619	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000047965	ENSMMUG00000047965-3369-M	-	-	
Macaca_mulatta	ENSMMUG00000040461-371-M	-	ENSMMUG00000040461	ENSMMUG00000040461-273-M	ENSMMUG00000040461-236-M	ENSMMUG00000040461-264-M	
Macaca_mulatta	-	-	ENSMMUG00000046023	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000014022	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000046346	-	-	-	
Macaca_mulatta	-	-	ENSMMUG00000041893	-	-	-	
Macaca_mulatta	ENSMMUG00000045418-4388-P	ENSMMUG00000045418-2493-P	ENSMMUG00000045418	-	ENSMMUG00000045418-3223-P	-	
Macaca_mulatta	ENSMMUG00000041491-4391-M	ENSMMUG00000041491-7183-P	ENSMMUG00000041491	ENSMMUG00000041491-3380-M	ENSMMUG00000041491-3226-M	ENSMMUG00000041491-3372-P	
Macaca_mulatta	-	-	ENSMMUG00000019625	-	ENSMMUG00000019625-318-M	-	
Macaca_mulatta	-	ENSMMUG00000048990-7185-P	ENSMMUG00000048990	ENSMMUG00000048990-3382-M	ENSMMUG00000048990-3228-P	-	
