Lineage	GeneID	Loss_category
Hominini	ENSGGOG00000041124_9124_P	pseudogene
Hominini	ENSGGOG00000036857_17869_M	pseudogene
Hominini	ENSGGOG00000036274_14263_M	genomic_loss
Hominini	ENSNLEG00000031212	pseudogene
Hominini	ENSGGOG00000036811_671_M	genomic_loss
Hominini	ENSGGOG00000023735_19844_M	pseudogene
Hominini	ENSGGOG00000043150_2678_P	genomic_loss
Hominini	ENSNLEG00000031813	pseudogene
Hominini	ENSGGOG00000027097_8119_P	genomic_loss
Hominini	ENSGGOG00000027034_6339_M	pseudogene
Hominini	ENSGGOG00000040856_19953_P	genomic_loss
Hominini	ENSMMUG00000038448	pseudogene
Hominini	ENSGGOG00000041950_12430_M	pseudogene
Hominini	ENSGGOG00000028454_15539_M	genomic_loss
Hominini	gene_LOC100461881	pseudogene
Hominini	ENSGGOG00000041221_2891_M	pseudogene
Hominini	ENSGGOG00000036793_18255_P	pseudogene
Hominini	ENSNLEG00000034247	pseudogene
Hominini	ENSNLEG00000033458	genomic_loss
Hominini	ENSGGOG00000043297_8287_P	pseudogene
Hominini	ENSMMUG00000001154	pseudogene
Hominini	ENSGGOG00000005475_6407_M	pseudogene
Hominini	ENSGGOG00000042950_21088_M	pseudogene
Hominini	ENSGGOG00000023122_9614_M	pseudogene
Hominini	ENSGGOG00000007170_19725_P	genomic_loss
Hominini	ENSGGOG00000038525_10835_P	pseudogene
Hominini	ENSG00000259680_7328_P	genomic_loss
Hominini	ENSGGOG00000003377_6226_M	genomic_loss
Hominini	gene_PLEKHB2	genomic_loss
Hominini	ENSMMUG00000041947	genomic_loss
Hominini	ENSNLEG00000010309	pseudogene
Hominini	ENSMMUG00000022002	pseudogene
Hominini	ENSMMUG00000048084	pseudogene
Hominini	ENSGGOG00000025311_9608_M	pseudogene
Hominini	ENSGGOG00000039359_17598_M	pseudogene
Hominini	ENSGGOG00000037289_14938_M	pseudogene
Hominini	ENSGGOG00000024692_5555_M	pseudogene
Hominini	ENSGGOG00000023451_21632_M	pseudogene
Hominini	ENSGGOG00000037539_19188_P	pseudogene
Hominini	ENSGGOG00000016227_17748_M	pseudogene
Hominini	ENSNLEG00000034153	genomic_loss
Hominini	ENSGGOG00000041040_16598_M	pseudogene
Hominini	ENSGGOG00000024635_4237_M	genomic_loss
Hominini	ENSGGOG00000040443_7419_M	pseudogene
Hominini	ENSGGOG00000024786_20702_P	pseudogene
Hominini	ENSGGOG00000043139_189_M	genomic_loss
Hominini	ENSMMUG00000008051	genomic_loss
Hominini	ENSGGOG00000041649_15136_P	genomic_loss
Hominini	ENSNLEG00000035125	pseudogene
Hominini	ENSGGOG00000043708_9984_M	pseudogene
Hominini	gene_LOC100433814	genomic_loss
Hominini	gene_LOC100453772	genomic_loss
Hominini	ENSGGOG00000039493_14868_P	pseudogene
Hominini	ENSGGOG00000042136_20792_M	pseudogene
Hominini	ENSMMUG00000042801	pseudogene
Hominini	ENSGGOG00000041458_6874_M	pseudogene
Hominini	ENSGGOG00000027879_11326_M	pseudogene
Hominini	ENSGGOG00000022556_8124_P	pseudogene
Hominini	ENSGGOG00000039051_361_P	pseudogene
Hominini	ENSGGOG00000041353_3251_P	pseudogene
Hominini	gene_LOC112134887	pseudogene
Hominini	ENSMMUG00000014911	pseudogene
Hominini	ENSGGOG00000039654_138_M	pseudogene
Hominini	ENSGGOG00000040764_3939_M	genomic_loss
Hominini	ENSNLEG00000027497	genomic_loss
Hominini	ENSGGOG00000025902_15700_M	genomic_loss
Hominini	gene_LOC100447242	pseudogene
Hominini	ENSGGOG00000038254_10416_M	pseudogene
Hominini	gene_LOC112132002	pseudogene
Hominini	ENSGGOG00000036535_5388_M	pseudogene
Hominini	gene_LOC103889474	pseudogene
Hominini	ENSNLEG00000028649	pseudogene
Hominini	ENSNLEG00000035975	pseudogene
Hominini	ENSGGOG00000042605_4716_P	genomic_loss
Hominini	ENSGGOG00000026210_634_P	genomic_loss
Hominini	ENSGGOG00000039201_148_P	pseudogene
Hominini	gene_LOC103888909	pseudogene
Hominini	ENSGGOG00000039378_20447_M	pseudogene
Hominini	ENSGGOG00000038355_19612_P	pseudogene
Hominini	ENSMMUG00000040736	pseudogene
Hominini	ENSGGOG00000011380_14029_M	pseudogene
Hominini	ENSGGOG00000027685_4066_P	pseudogene
Hominini	gene_LOC100462277	pseudogene
Hominini	ENSGGOG00000042585_4284_P	pseudogene
Hominini	gene_LOC100454607	pseudogene
Hominini	gene_LOC100447272	genomic_loss
Hominini	ENSNLEG00000035207	pseudogene
Hominini	ENSGGOG00000039825_11137_P	pseudogene
Hominini	ENSGGOG00000040829_19026_M	pseudogene
Hominini	ENSG00000277761_4155_M	genomic_loss
Hominini	ENSGGOG00000028211_1297_P	pseudogene
Hominini	ENSGGOG00000039811_16908_M	pseudogene
Hominini	ENSNLEG00000032788	genomic_loss
Hominini	ENSGGOG00000040386_10167_P	genomic_loss
Hominini	ENSGGOG00000043357_5378_P	pseudogene
Hominini	gene_LOC103892713	pseudogene
Hominini	ENSGGOG00000027517_14528_P	pseudogene
Hominini	ENSGGOG00000027209_21327_P	genomic_loss
Hominini	ENSGGOG00000026854_12477_P	genomic_loss
Hominini	gene_LOC100437277	genomic_loss
Hominini	ENSGGOG00000026761_11371_M	genomic_loss
Hominini	ENSGGOG00000028128_19781_P	pseudogene
Hominini	ENSGGOG00000026210_635_P	genomic_loss
Hominini	ENSMMUG00000038405	pseudogene
Hominini	ENSMMUG00000045135	pseudogene
Hominini	ENSGGOG00000028444_10790_P	pseudogene
Hominini	gene_LOC100437268	pseudogene
Hominini	ENSGGOG00000043108_9072_P	genomic_loss
Hominini	ENSGGOG00000013483_9326_P	pseudogene
Hominini	ENSNLEG00000012692	genomic_loss
Hominini	ENSGGOG00000024925_5449_M	pseudogene
Hominini	ENSGGOG00000037964_7636_M	pseudogene
Hominini	ENSGGOG00000042564_16501_M	pseudogene
Hominini	ENSNLEG00000030479	genomic_loss
Hominini	ENSGGOG00000039338_9789_P	pseudogene
Hominini	ENSNLEG00000012696	pseudogene
Hominini	ENSGGOG00000040156_3261_M	pseudogene
Hominini	ENSGGOG00000028471_11512_P	genomic_loss
Hominini	ENSGGOG00000037765_15830_P	pseudogene
Hominini	gene_LOC100455313	pseudogene
Hominini	ENSGGOG00000037070_17011_M	pseudogene
Hominini	ENSGGOG00000038792_18489_M	pseudogene
Hominini	ENSGGOG00000026202_11628_P	pseudogene
Hominini	ENSNLEG00000029588	pseudogene
Hominini	gene_LOC100939904	pseudogene
Hominini	ENSGGOG00000037637_1621_P	genomic_loss
Hominini	ENSNLEG00000033649	genomic_loss
Hominini	ENSGGOG00000039669_17770_M	pseudogene
Hominini	ENSNLEG00000034376	pseudogene
Hominini	ENSGGOG00000039072_1037_M	pseudogene
Hominini	ENSGGOG00000043307_18254_P	genomic_loss
Hominini	gene_LGALS9B	genomic_loss
Hominini	ENSMMUG00000045624	genomic_loss
Hominini	ENSGGOG00000028040_16935_P	pseudogene
Hominini	ENSGGOG00000044114_14663_P	genomic_loss
Hominini	ENSGGOG00000042220_9250_M	pseudogene
Hominini	ENSNLEG00000035802	pseudogene
Hominini	ENSGGOG00000037536_9501_M	pseudogene
Hominini	ENSGGOG00000014115_13968_P	pseudogene
Hominini	gene_LOC100937137	genomic_loss
Hominini	ENSNLEG00000035479	genomic_loss
Hominini	ENSGGOG00000027286_9846_P	pseudogene
Hominini	ENSGGOG00000004314_7174_P	pseudogene
Hominini	ENSMMUG00000040242	genomic_loss
Hominini	ENSMMUG00000048341	genomic_loss
Hominini	ENSGGOG00000037518_20065_M	pseudogene
Hominini	ENSGGOG00000041003_21233_M	pseudogene
Hominini	ENSGGOG00000002427_14241_P	pseudogene
Hominini	ENSGGOG00000043232_18472_M	pseudogene
Hominini	gene_LOC103889468	genomic_loss
Hominini	ENSGGOG00000025927_17284_M	pseudogene
Hominini	ENSGGOG00000036518_4757_M	pseudogene
Hominini	ENSG00000162482_563_M	genomic_loss
Hominini	ENSGGOG00000027658_3235_M	pseudogene
Hominini	ENSGGOG00000036656_7608_P	pseudogene
Hominini	ENSGGOG00000040468_8712_P	pseudogene
Hominini	ENSNLEG00000032830	genomic_loss
Hominini	ENSGGOG00000025744_12115_M	pseudogene
Hominini	ENSGGOG00000022573_3181_P	pseudogene
Hominini	ENSGGOG00000036213_7866_M	pseudogene
Hominini	ENSGGOG00000038772_2422_M	pseudogene
Hominini	ENSNLEG00000028942	genomic_loss
Hominini	ENSGGOG00000037801_18686_M	pseudogene
Hominini	ENSNLEG00000035053	pseudogene
Hominini	ENSMMUG00000010790	genomic_loss
Hominini	ENSGGOG00000026173_6045_P	pseudogene
Hominini	ENSGGOG00000027970_2605_P	pseudogene
Hominini	ENSGGOG00000038270_11114_M	pseudogene
Hominini	ENSGGOG00000037739_19204_M	genomic_loss
Hominini	ENSGGOG00000036539_1957_M	pseudogene
Hominini	ENSGGOG00000038665_11382_P	pseudogene
Hominini	gene_LOC100432027	genomic_loss
Hominini	ENSNLEG00000035093	genomic_loss
Hominini	ENSMMUG00000048719	pseudogene
Hominini	ENSMMUG00000039332	pseudogene
Hominini	ENSGGOG00000041981_19037_M	genomic_loss
Hominini	gene_LOC112129660	genomic_loss
Hominini	ENSNLEG00000013394	genomic_loss
Hominini	ENSGGOG00000015916_14090_M	pseudogene
Hominini	ENSGGOG00000042085_18852_M	pseudogene
Hominini	ENSGGOG00000009712_12828_M	genomic_loss
Hominini	ENSGGOG00000022560_4156_P	pseudogene
Hominini	gene_LOC100461820	pseudogene
Hominini	ENSGGOG00000039541_18541_M	pseudogene
Hominini	ENSGGOG00000040531_8636_P	pseudogene
Hominini	ENSGGOG00000036196_21169_M	pseudogene
Hominini	ENSNLEG00000028855	pseudogene
Hominini	ENSGGOG00000043054_3538_M	pseudogene
Hominini	ENSGGOG00000027993_11961_M	pseudogene
Hominini	ENSNLEG00000028522	genomic_loss
Hominini	ENSNLEG00000032286	genomic_loss
Hominini	ENSGGOG00000041449_19074_M	pseudogene
Hominini	ENSGGOG00000039968_5988_M	pseudogene
Hominini	ENSG00000285607_19788_M	genomic_loss
Hominini	ENSNLEG00000031507	genomic_loss
Hominini	ENSNLEG00000033115	genomic_loss
Hominini	ENSGGOG00000040655_14243_P	pseudogene
Hominini	ENSGGOG00000023113_10492_M	pseudogene
Hominini	gene_LOC100455373	pseudogene
Hominini	ENSGGOG00000022491_4104_M	pseudogene
Hominini	ENSGGOG00000026048_6062_M	genomic_loss
Hominini	ENSGGOG00000024616_13549_M	pseudogene
Hominini	ENSGGOG00000026870_20389_M	pseudogene
Hominini	ENSGGOG00000038749_1330_P	pseudogene
Hominini	ENSNLEG00000008665	genomic_loss
Hominini	ENSGGOG00000023061_17881_M	genomic_loss
Hominini	ENSGGOG00000040281_17471_M	genomic_loss
Hominini	ENSMMUG00000048615	genomic_loss
Hominini	ENSMMUG00000006718	pseudogene
Hominini	ENSGGOG00000042618_16074_M	pseudogene
Hominini	ENSGGOG00000028424_4875_M	pseudogene
Hominini	ENSGGOG00000038964_14725_M	pseudogene
Hominini	gene_LOC100938679	genomic_loss
Hominini	ENSGGOG00000023036_15640_P	genomic_loss
Hominini	ENSMMUG00000041645	pseudogene
Hominini	ENSGGOG00000038135_12085_M	pseudogene
Hominini	ENSGGOG00000042023_15679_M	genomic_loss
Hominini	ENSGGOG00000043433_2275_M	pseudogene
Hominini	ENSGGOG00000027587_4261_M	genomic_loss
Hominini	ENSGGOG00000042657_7734_P	genomic_loss
Hominini	ENSGGOG00000039838_10161_M	genomic_loss
Hominini	ENSGGOG00000026797_20442_P	pseudogene
Hominini	ENSGGOG00000036120_17915_M	pseudogene
Hominini	ENSGGOG00000038865_4171_P	pseudogene
Hominini	ENSGGOG00000026511_21865_P	pseudogene
Hominini	ENSGGOG00000000067_2034_M	genomic_loss
Hominini	ENSGGOG00000025539_7268_M	genomic_loss
Hominini	ENSGGOG00000027238_3990_M	genomic_loss
Hominini	ENSNLEG00000027252	genomic_loss
Hominini	ENSGGOG00000026382_12626_M	pseudogene
Hominini	ENSGGOG00000013331_6722_M	pseudogene
Hominini	ENSGGOG00000005971_4349_P	pseudogene
Hominini	ENSGGOG00000044044_10540_M	genomic_loss
Hominini	ENSMMUG00000046528	genomic_loss
Hominini	ENSGGOG00000026387_15481_M	genomic_loss
Hominini	ENSGGOG00000025992_15751_P	pseudogene
Hominini	ENSGGOG00000037533_13396_P	pseudogene
Hominini	ENSGGOG00000038721_2412_M	pseudogene
Hominini	ENSGGOG00000041238_10768_P	pseudogene
Hominini	ENSGGOG00000041675_20827_M	genomic_loss
Hominini	ENSGGOG00000042026_13914_M	pseudogene
Hominini	ENSGGOG00000042155_17496_P	pseudogene
Homininae	gene_LOC112132001	pseudogene
Homininae	ENSNLEG00000035446	pseudogene
Homininae	gene_LOC100431564	pseudogene
Homininae	ENSNLEG00000028843	genomic_loss
Homininae	ENSMMUG00000043711	pseudogene
Homininae	ENSMMUG00000046668	genomic_loss
Homininae	ENSNLEG00000027961	pseudogene
Homininae	ENSNLEG00000032405	pseudogene
Homininae	ENSMMUG00000041305	genomic_loss
Homininae	gene_LOC100447519	pseudogene
Homininae	gene_LOC112128546	genomic_loss
Homininae	gene_LOC100446960	genomic_loss
Homininae	ENSNLEG00000031001	genomic_loss
Homininae	gene_LOC112131654	genomic_loss
Homininae	ENSNLEG00000034949	pseudogene
Homininae	ENSNLEG00000032183	genomic_loss
Homininae	ENSNLEG00000036271	pseudogene
Homininae	gene_LOC100939027	genomic_loss
Homininae	gene_LOC100451404	genomic_loss
Homininae	gene_LOC100455590	pseudogene
Homininae	gene_LOC100447281	genomic_loss
Homininae	gene_LOC103890548	pseudogene
Homininae	ENSMMUG00000037690	genomic_loss
Homininae	ENSNLEG00000033019	pseudogene
Homininae	gene_LOC100439576	pseudogene
Homininae	ENSMMUG00000045376	genomic_loss
Homininae	gene_UBB	pseudogene
Homininae	ENSMMUG00000048525	pseudogene
Homininae	ENSMMUG00000042637	pseudogene
Homininae	ENSMMUG00000043116	pseudogene
Homininae	gene_LOC100451441	pseudogene
Homininae	ENSNLEG00000032535	genomic_loss
Homininae	gene_LOC100434382	pseudogene
Homininae	gene_LOC100440545	genomic_loss
Homininae	gene_LOC100939434	genomic_loss
Homininae	ENSNLEG00000035823	pseudogene
Homininae	gene_LOC112130717	pseudogene
Homininae	ENSNLEG00000028115	genomic_loss
Homininae	gene_LOC100444151	pseudogene
Homininae	gene_LOC100443904	genomic_loss
Homininae	gene_LOC112134712	pseudogene
Homininae	ENSNLEG00000028651	pseudogene
Homininae	ENSNLEG00000027699	genomic_loss
Homininae	gene_LOC100440497	pseudogene
Homininae	gene_LOC112132683	genomic_loss
Homininae	gene_LOC100434115	pseudogene
Homininae	gene_LOC100437189	pseudogene
Homininae	gene_LOC100447494	pseudogene
Homininae	gene_LOC100436547	pseudogene
Homininae	gene_LOC112134371	pseudogene
Homininae	gene_LOC100456570	genomic_loss
Homininae	gene_LOC100447072	genomic_loss
Homininae	gene_LOC103890272	pseudogene
Homininae	gene_LOC103889913	pseudogene
Homininae	gene_LOC100446400	pseudogene
Homininae	ENSNLEG00000033097	genomic_loss
Homininae	ENSNLEG00000031483	pseudogene
Homininae	ENSNLEG00000029691	pseudogene
Homininae	gene_LOC112130734	pseudogene
Homininae	gene_LOC100459464	pseudogene
Homininae	ENSMMUG00000044800	pseudogene
Homininae	gene_LOC100451951	genomic_loss
Homininae	gene_LOC100440394	genomic_loss
Homininae	ENSNLEG00000027179	pseudogene
Homininae	ENSNLEG00000030176	pseudogene
Homininae	ENSNLEG00000032241	pseudogene
Homininae	ENSNLEG00000030130	pseudogene
Homininae	ENSMMUG00000043901	pseudogene
Homininae	ENSNLEG00000035994	genomic_loss
Homininae	ENSNLEG00000035973	genomic_loss
Homininae	gene_LOC112128492	genomic_loss
Homininae	ENSNLEG00000007711	pseudogene
Homininae	gene_LOC100446375	pseudogene
Homininae	ENSNLEG00000033122	pseudogene
Homininae	ENSMMUG00000039193	pseudogene
Homininae	gene_LOC112133875	pseudogene
Homininae	gene_LOC100458866	genomic_loss
Homininae	gene_LOC100439561	pseudogene
Homininae	ENSMMUG00000030712	genomic_loss
Homininae	gene_LOC112131869	genomic_loss
Homininae	gene_LOC100438965	pseudogene
Homininae	gene_LOC100445225	pseudogene
Homininae	gene_LOC100937596	pseudogene
Homininae	gene_LOC100456805	genomic_loss
Homininae	ENSNLEG00000031075	genomic_loss
Homininae	gene_LOC100442376	genomic_loss
Homininae	gene_LOC100461165	pseudogene
Homininae	ENSNLEG00000036277	pseudogene
Homininae	ENSNLEG00000029534	pseudogene
Homininae	gene_LOC112133797	genomic_loss
Homininae	gene_LOC112128560	pseudogene
Homininae	ENSNLEG00000035281	pseudogene
Homininae	gene_LOC100444701	pseudogene
Homininae	ENSMMUG00000041198	pseudogene
Homininae	gene_LOC103892534	pseudogene
Homininae	gene_LOC100451771	genomic_loss
Homininae	gene_LOC100462586	genomic_loss
Homininae	gene_MORF4L2_2	genomic_loss
Homininae	gene_LOC112130058	pseudogene
Homininae	ENSMMUG00000039813	genomic_loss
Homininae	gene_LOC100433120	pseudogene
Homininae	gene_LOC103891419	pseudogene
Homininae	gene_LOC112133052	pseudogene
Homininae	gene_LOC100445711	genomic_loss
Homininae	ENSNLEG00000030063	genomic_loss
Homininae	gene_LOC100448705	pseudogene
Homininae	gene_LOC100456412	pseudogene
Homininae	gene_LOC100447114	pseudogene
Homininae	ENSNLEG00000034545	genomic_loss
Homininae	ENSNLEG00000035718	pseudogene
Homininae	ENSMMUG00000043889	genomic_loss
Homininae	gene_LOC103891863	pseudogene
Homininae	ENSNLEG00000031882	pseudogene
Homininae	gene_LOC100453176	genomic_loss
Homininae	ENSNLEG00000033712	pseudogene
Homininae	ENSNLEG00000030521	pseudogene
Homininae	ENSNLEG00000028682	genomic_loss
Homininae	ENSMMUG00000046541	pseudogene
Homininae	ENSMMUG00000031785	genomic_loss
Homininae	ENSNLEG00000035007	pseudogene
Homininae	gene_LOC100439876	pseudogene
Homininae	gene_LOC112134353	pseudogene
Homininae	ENSMMUG00000045727	genomic_loss
Homininae	gene_LOC100450170	genomic_loss
Homininae	ENSMMUG00000040632	genomic_loss
Homininae	ENSNLEG00000031397	pseudogene
Homininae	gene_LOC112130355	pseudogene
Homininae	ENSNLEG00000031281	pseudogene
Homininae	gene_LOC112130325	pseudogene
Homininae	ENSNLEG00000033255	pseudogene
Homininae	gene_LOC100436165	pseudogene
Homininae	gene_LOC100936700	pseudogene
Homininae	gene_LOC100457728	genomic_loss
Homininae	gene_DCDC1	pseudogene
Homininae	ENSMMUG00000043997	pseudogene
Homininae	ENSNLEG00000032623	pseudogene
Homininae	gene_LOC100455682	genomic_loss
Homininae	ENSMMUG00000010370	genomic_loss
Homininae	ENSNLEG00000031673	genomic_loss
Homininae	ENSNLEG00000030526	pseudogene
Homininae	ENSNLEG00000005966	pseudogene
Homininae	ENSMMUG00000039036	pseudogene
Homininae	ENSNLEG00000001526	genomic_loss
Homininae	gene_LOC100451808	pseudogene
Homininae	ENSMMUG00000047099	genomic_loss
Homininae	gene_LOC112130741	pseudogene
Homininae	ENSNLEG00000034637	pseudogene
Homininae	gene_LOC112133475	pseudogene
Homininae	gene_LOC100454549	genomic_loss
Homininae	gene_LOC100455683	genomic_loss
Homininae	ENSMMUG00000005347	genomic_loss
Homininae	ENSMMUG00000040926	pseudogene
Homininae	gene_LOC100436778	genomic_loss
Homininae	gene_LOC100442574	pseudogene
Homininae	gene_LOC112135777	pseudogene
Homininae	gene_LOC100437401	pseudogene
Homininae	gene_LOC112131295	genomic_loss
Homininae	ENSNLEG00000010624	genomic_loss
Homininae	gene_LOC112131636	genomic_loss
Homininae	gene_LOC100462147	genomic_loss
Homininae	gene_LOC100452584	genomic_loss
Homininae	ENSNLEG00000035471	pseudogene
Homininae	ENSMMUG00000018463	genomic_loss
Homininae	ENSNLEG00000030717	genomic_loss
Homininae	gene_LOC112135206	pseudogene
Homininae	gene_LOC103889054	pseudogene
Homininae	gene_LOC100455006	genomic_loss
Homininae	ENSNLEG00000027509	pseudogene
Homininae	ENSNLEG00000030565	pseudogene
Homininae	gene_LOC112132682	pseudogene
Homininae	ENSMMUG00000040716	pseudogene
Homininae	ENSNLEG00000028347	genomic_loss
Homininae	ENSNLEG00000030767	pseudogene
Homininae	ENSMMUG00000019087	pseudogene
Homininae	ENSNLEG00000031469	pseudogene
Homininae	ENSNLEG00000034965	pseudogene
Homininae	ENSNLEG00000036175	pseudogene
Homininae	gene_LOC100454376	pseudogene
Homininae	ENSMMUG00000046387	genomic_loss
Homininae	ENSMMUG00000043503	pseudogene
Homininae	ENSNLEG00000031989	pseudogene
Homininae	ENSMMUG00000029083	pseudogene
Homininae	ENSMMUG00000039083	pseudogene
Homininae	ENSNLEG00000033880	pseudogene
Homininae	gene_LOC100454965	genomic_loss
Homininae	ENSNLEG00000033365	pseudogene
Homininae	ENSNLEG00000033072	pseudogene
Homininae	gene_LOC100432608	genomic_loss
Homininae	gene_LOC100436991	pseudogene
